family,scale,model,model_short,temperature,observed_focus_heuristic,top_observed_digit,top_observed_position,digit_js_bits,position_js_bits,ordering_diversity_count,ordering_diversity_digits,ordering_pattern,invalid_rate_mean,invalid_rate_max
Gemma,1B,google/gemma-3-1b-it,gemma-3-1b-it,0.0,position-leaning,3:0.400,1:0.800,0.3681595027435627,0.6100367212847755,4,"3,6,8,9","ascending=3, descending=9, random_001=6, random_002=8, random_003=3",0.0,0.0
Gemma,1B,google/gemma-3-1b-it,gemma-3-1b-it,0.2,position-leaning,3:0.400,1:0.797,0.3602944230778425,0.6016056791268791,4,"3,6,8,9","ascending=3, descending=9, random_001=6, random_002=8, random_003=3",0.0,0.0
Llama,1B,meta-llama/Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct,0.0,digit-leaning,8:0.600,1:0.200,0.5846440949326401,0.2686664765895092,2,"7,8","ascending=7, descending=8, random_001=8, random_002=8, random_003=7",0.0,0.0
Llama,1B,meta-llama/Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct,0.2,digit-leaning,7:0.480,5:0.295,0.3487038895529838,0.1097821325886392,2,"7,8","ascending=7, descending=8, random_001=8, random_002=8, random_003=7",0.0,0.0
Llama,3B,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,0.0,digit-leaning,9:0.600,1:0.200,0.4851510687785866,0.2686664765895092,3,"3,5,9","ascending=5, descending=9, random_001=3, random_002=9, random_003=9",0.0,0.0
Llama,3B,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,0.2,digit-leaning,9:0.528,6:0.190,0.3786040456908954,0.1706937618510823,3,"3,5,9","ascending=5, descending=9, random_001=3, random_002=9, random_003=9",0.0,0.0
Qwen2.5,0.5B,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,0.0,digit-leaning,1:0.600,7:0.400,0.5846440949326401,0.4676525288976161,2,"1,7","ascending=7, descending=1, random_001=1, random_002=1, random_003=7",0.0,0.0
Qwen2.5,0.5B,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,0.2,digit-leaning,1:0.590,9:0.367,0.4702024135254987,0.2554495013858945,2,"1,7","ascending=7, descending=1, random_001=1, random_002=1, random_003=7",0.0,0.0
Qwen2.5,1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,0.0,digit-leaning,1:0.800,9:0.400,0.6100367212847755,0.3681595027435627,2,"1,3","ascending=3, descending=1, random_001=1, random_002=1, random_003=1",0.0,0.0
Qwen2.5,1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,0.2,digit-leaning,1:0.792,9:0.400,0.5728260758611151,0.3504869918963609,2,"1,3","ascending=3, descending=1, random_001=1, random_002=1, random_003=1",0.0,0.0
Qwen3,4B,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,0.0,mixed,5:0.600,1:0.400,0.4851510687785866,0.4676525288976161,3,"3,5,6","ascending=5, descending=5, random_001=6, random_002=5, random_003=3",0.0,0.0
Qwen3,4B,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,0.2,mixed,5:0.597,1:0.403,0.4767921277272873,0.4680125438378482,3,"3,5,6","ascending=5, descending=5, random_001=6, random_002=5, random_003=3",0.0,0.0
SmolLM,135M,HuggingFaceTB/SmolLM2-135M-Instruct,SmolLM2-135M-Instruct,0.0,digit-leaning,1:0.800,1:0.200,0.6563034259668736,0.3149331812716073,1,1,"ascending=1, descending=1, random_001=1, random_002=1, random_003=1",0.2,1.0
SmolLM,135M,HuggingFaceTB/SmolLM2-135M-Instruct,SmolLM2-135M-Instruct,0.2,digit-leaning,1:0.991,9:0.391,0.7176179276375199,0.347219480671132,1,1,"ascending=1, descending=1, random_001=1, random_002=1, random_003=1",0.315,0.7125
SmolLM,1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,0.0,mixed,7:0.400,1:0.400,0.3681595027435627,0.3681595027435627,4,"3,7,8,9","ascending=3, descending=9, random_001=7, random_002=8, random_003=7",0.0,0.0
SmolLM,1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,0.2,digit-leaning,7:0.455,1:0.302,0.3334352035558413,0.2912592199623619,4,"3,7,8,9","ascending=3, descending=9, random_001=7, random_002=8, random_003=7",0.0,0.0
